title,sdgs
Catch-up strategies and the latecomer effect in industrial development,SDG 9
 How to achieve a win-win situation between economic growth and carbon emission reduction: empirical evidence from the perspective of industrial structure …,SDG 8
 How to achieve a win-win situation between economic growth and carbon emission reduction: empirical evidence from the perspective of industrial structure …,SDG 9
"Industrial development, globalization and multinational enterprises: new realities for developing countries",SDG 8
"Industrial development, globalization and multinational enterprises: new realities for developing countries",SDG 9
Economic growth before and after the Industrial Revolution,SDG 8
Economic growth before and after the Industrial Revolution,SDG 9
" How energy consumption, industrial growth, urbanization, and CO2 emissions affect economic growth in Pakistan? A novel dynamic ARDL simulations …",SDG 8
" How energy consumption, industrial growth, urbanization, and CO2 emissions affect economic growth in Pakistan? A novel dynamic ARDL simulations …",SDG 9
Income inequality and industrial development: Dualism revisited,SDG 8
Income inequality and industrial development: Dualism revisited,SDG 9
India's industrial development: an interpretative survey,SDG 8
India's industrial development: an interpretative survey,SDG 9
An exploration into the economic impact of industrial development versus conservation on western public lands,SDG 8
An exploration into the economic impact of industrial development versus conservation on western public lands,SDG 9
 Economic development and multiple air pollutant emissions from the industrial sector,SDG 8
 Economic development and multiple air pollutant emissions from the industrial sector,SDG 9
Economic performance of industrial development on collective land in the urbanization process in China: Empirical evidence from Shenzhen,SDG 8
Economic performance of industrial development on collective land in the urbanization process in China: Empirical evidence from Shenzhen,SDG 9
What are “third-wave” state economic development efforts? From incentives to industrial policy,SDG 8
What are “third-wave” state economic development efforts? From incentives to industrial policy,SDG 9
From «old» industrial policy to “new” Industrial development policies,SDG 8
From «old» industrial policy to “new” Industrial development policies,SDG 9
Regional industrial growth: evidence from Chinese industries,SDG 8
Regional industrial growth: evidence from Chinese industries,SDG 9
 Human resources in Japanese industrial development,SDG 8
 Human resources in Japanese industrial development,SDG 9
" Carbon emissions, the industrial structure and economic growth: Evidence from heterogeneous industries in China",SDG 8
" Carbon emissions, the industrial structure and economic growth: Evidence from heterogeneous industries in China",SDG 9
 Industrial policy and development: A political economy perspective,SDG 8
 Industrial policy and development: A political economy perspective,SDG 9
Legal Analysis of The Impact of Industrial Development on The Environment,SDG 8
Legal Analysis of The Impact of Industrial Development on The Environment,SDG 9
 Industrialization and growth,SDG 8
 Industrialization and growth,SDG 9
"Intellectual property rights, foreign direct investment and industrial development",SDG 8
"Intellectual property rights, foreign direct investment and industrial development",SDG 9
 The political economy of capabilities accumulation: The past and future of policies for industrial development. Preface,SDG 8
 The political economy of capabilities accumulation: The past and future of policies for industrial development. Preface,SDG 9
" Technology progress bias, industrial structure adjustment, and regional industrial economic growth motivation——research on regional industrial …",SDG 8
" Technology progress bias, industrial structure adjustment, and regional industrial economic growth motivation——research on regional industrial …",SDG 9
" The impact of economic growth, industrial structure and urbanization on carbon emission intensity in China",SDG 8
" The impact of economic growth, industrial structure and urbanization on carbon emission intensity in China",SDG 9
 Externalities and long-term local industrial development. Some empirical evidence from Italy,SDG 8
 Externalities and long-term local industrial development. Some empirical evidence from Italy,SDG 9
 Economic growth in Europe: A comparative industry perspective,SDG 8
 Economic growth in Europe: A comparative industry perspective,SDG 9
"Intellectual property rights, the industrial revolution, and the beginnings of modern economic growth",SDG 8
"Intellectual property rights, the industrial revolution, and the beginnings of modern economic growth",SDG 9
The direction of causality between financial development and economic growth,SDG 8
The direction of causality between financial development and economic growth,SDG 9
Rural industrial development: To cluster or not to cluster?,SDG 8
Rural industrial development: To cluster or not to cluster?,SDG 9
 Manufacturing transformation: comparative studies of industrial development in Africa and emerging Asia,SDG 8
 Manufacturing transformation: comparative studies of industrial development in Africa and emerging Asia,SDG 9
 Kondratiev and the dynamics of economic development: long cycles and industrial growth in historical context,SDG 8
 Kondratiev and the dynamics of economic development: long cycles and industrial growth in historical context,SDG 9
"Industrial policy, sectoral maturation, and postwar economic growth in Brazil: The resource curse thesis",SDG 8
"Industrial policy, sectoral maturation, and postwar economic growth in Brazil: The resource curse thesis",SDG 9
Trade liberalization and industrial development in Latin America,SDG 8
Trade liberalization and industrial development in Latin America,SDG 9
Location theory and regional economic growth,SDG 8
Location theory and regional economic growth,SDG 9
Economic growth revisited,SDG 8
Economic growth revisited,SDG 9
Human Rights Trials in an Era of Democratic Stagnation: The Case of Turkey,SDG 16
Human Rights Trials in an Era of Democratic Stagnation: The Case of Turkey,SDG 5
ENDING VIOLENCE SO AMERICAN INDIAN ALASKA NATIVE CHILDREN CAN THRIVE,SDG 16
An Afro-Communitarian Compatibilist View on Rights?,SDG 16
Human Rights in the Balkans – The Forgotten Few: Macedonians of Bulgaria,SDG 16
Human Rights in the Balkans – The Forgotten Few: Macedonians of Bulgaria,SDG 5
"Violence, Health, and Human Rights: Toward a Shared Agenda for
              Prevention",SDG 16
"Violence, Health, and Human Rights: Toward a Shared Agenda for
              Prevention",SDG 5
"Violence, Health, and Human Rights: Toward a Shared Agenda for
              Prevention",SDG 3
The Law of Nuisance and the Human Rights Act,SDG 16
The Law of Nuisance and the Human Rights Act,SDG 5
"HAVE CONSTITUTION, WILL TRAVEL",SDG 16
Regional Human Rights Bodies as Instruments of International Law,SDG 16
Regional Human Rights Bodies as Instruments of International Law,SDG 5
Human Rights and the OECD Guidelines for Multinational Enterprises: Normative Innovations and Implementation Challenges,SDG 16
Human Rights and the OECD Guidelines for Multinational Enterprises: Normative Innovations and Implementation Challenges,SDG 5
Middle East and North Africa Human Rights Activism in Cyberspace,SDG 16
Middle East and North Africa Human Rights Activism in Cyberspace,SDG 5
Food: An Essential Weapon in the Battle Against HIV and AIDS,SDG 16
Food: An Essential Weapon in the Battle Against HIV and AIDS,SDG 2
Food: An Essential Weapon in the Battle Against HIV and AIDS,SDG 3
ACCESS TO ENERGY: LOOKING THROUGH THE PRISM OF HUMAN RIGHTS — THE INDIAN EXPERIENCE,SDG 16
ACCESS TO ENERGY: LOOKING THROUGH THE PRISM OF HUMAN RIGHTS — THE INDIAN EXPERIENCE,SDG 5
"Gay and Lesbian Rights Issues: A Comparative Analysis of Sydney, Australia and Toronto, Canada",SDG 16
Empty Promises? Obama's Hesitant Embrace of Human Rights,SDG 16
Empty Promises? Obama's Hesitant Embrace of Human Rights,SDG 5
Civility and Dissent During Wartime,SDG 16
"At the End of Influence: The Letelier Assassination, Human Rights, and Rethinking Intervention in US-Latin American Relations",SDG 16
"At the End of Influence: The Letelier Assassination, Human Rights, and Rethinking Intervention in US-Latin American Relations",SDG 5
"Points of Hesitation: Human Rights, Social Justice and Qualitative Research.",SDG 16
"Points of Hesitation: Human Rights, Social Justice and Qualitative Research.",SDG 5
Voter Registration in Today's Democracy: Barriers and Opportunities,SDG 16
Accountability for Past Abuses,SDG 16
Human Rights and Animal Rights: Differences Matter,SDG 16
Human Rights and Animal Rights: Differences Matter,SDG 5
Special guest contribution: violence against women as a barrier to the realisation of human rights and the exercise of citizenship,SDG 16
Special guest contribution: violence against women as a barrier to the realisation of human rights and the exercise of citizenship,SDG 15
Special guest contribution: violence against women as a barrier to the realisation of human rights and the exercise of citizenship,SDG 5
CRIMES AGAINST HUMANITY AND THE LIMITS OF INTERNATIONAL CRIMINAL LAW,SDG 5
Human Rights and the New Public Health,SDG 16
Human Rights and the New Public Health,SDG 5
Human Rights and the New Public Health,SDG 3
Falling Short of the Rights to Health and Scientific Progress: Inadequate TB Drug Research and Access,SDG 16
Falling Short of the Rights to Health and Scientific Progress: Inadequate TB Drug Research and Access,SDG 3
"National Human Rights Institutions and Economic, Social, and Cultural Rights: Toward the Institutionalization and Developmentalization of Human Rights",SDG 16
"National Human Rights Institutions and Economic, Social, and Cultural Rights: Toward the Institutionalization and Developmentalization of Human Rights",SDG 5
Coercive Inclusion in the Mexican War on Drugs: A Field Study of Human Rights and the State in Michoacán,SDG 16
Coercive Inclusion in the Mexican War on Drugs: A Field Study of Human Rights and the State in Michoacán,SDG 5
"Challenging Systematization in Romania: Human Rights, Transnationalism, and Dissidents in Campaigns by Opérations Villages Roumains (OVR), 1989–1990",SDG 16
"Challenging Systematization in Romania: Human Rights, Transnationalism, and Dissidents in Campaigns by Opérations Villages Roumains (OVR), 1989–1990",SDG 5
The Right to Sanitation: Time to Delink from the Right to Water,SDG 6
"Resisting Biopolitics: Hannah Arendt as a Thinker of Automation, Social Rights, and Basic Income",SDG 16
"Torture, Justification, and Human Rights: Toward an Absolute Proscription",SDG 16
"Torture, Justification, and Human Rights: Toward an Absolute Proscription",SDG 5
Human Rights in the Eyes of the Filipino Soldier,SDG 16
Human Rights in the Eyes of the Filipino Soldier,SDG 5
"Advancing the Business and Human Rights Agenda: Dialogue, Empowerment, and Constructive Engagement",SDG 16
"Advancing the Business and Human Rights Agenda: Dialogue, Empowerment, and Constructive Engagement",SDG 5
Child Soldiers: Changing a Culture of Violence,SDG 16
Human Rights: The Real Cost of War,SDG 16
Human Rights: The Real Cost of War,SDG 5
Legislative Tactics in a Mouement Strategy: The Economic Human Rights-Pennsylvania Campaign,SDG 16
Legislative Tactics in a Mouement Strategy: The Economic Human Rights-Pennsylvania Campaign,SDG 5
"Positive Religious Coping, Cultural Anthropology of Women Rights and Well-Being of Hindu Women in Bali Indonesia: Mediation of Socio-Economic Women Rights",SDG 15
"Positive Religious Coping, Cultural Anthropology of Women Rights and Well-Being of Hindu Women in Bali Indonesia: Mediation of Socio-Economic Women Rights",SDG 16
CRIMINAL INVESTIGATION IN INDIA – HUMAN RIGHTS PERSPECTIVE,SDG 16
CRIMINAL INVESTIGATION IN INDIA – HUMAN RIGHTS PERSPECTIVE,SDG 5
Human Rights and Digital Health Technologies,SDG 16
Human Rights and Digital Health Technologies,SDG 5
Human Rights and Digital Health Technologies,SDG 3
The Universality of the Concept of Human Rights,SDG 16
The Universality of the Concept of Human Rights,SDG 5
"Progress in Protecting Reproductive Rights and Promoting Reproductive
              Health: Five Years since Cairo",SDG 16
"Progress in Protecting Reproductive Rights and Promoting Reproductive
              Health: Five Years since Cairo",SDG 3
Sexual Orientation and Gender Identity Minorities in Transition: LGBT Rights and Activism in Myanmar,SDG 16
"Human Rights, Child-Soldier Narratives, and the Problem of Form",SDG 16
"Human Rights, Child-Soldier Narratives, and the Problem of Form",SDG 5
"As the IR&R Section celebrates its 30th anniversary, it's important to look at which future issues deserve our attention. International Human Rights",SDG 16
"As the IR&R Section celebrates its 30th anniversary, it's important to look at which future issues deserve our attention. International Human Rights",SDG 5
Collective Violence Caused by Climate Change and How It Threatens Health and Human Rights,SDG 16
Collective Violence Caused by Climate Change and How It Threatens Health and Human Rights,SDG 5
Collective Violence Caused by Climate Change and How It Threatens Health and Human Rights,SDG 3
GUEST EDITORIAL: The Roots of Human Rights Advocacy and a Call to Action,SDG 16
GUEST EDITORIAL: The Roots of Human Rights Advocacy and a Call to Action,SDG 5
The Role of Civil Society in Mobilizing Human Rights Struggles for Essential Medicines: A Critique from HIV/AIDS to COVID-19,SDG 16
The Role of Civil Society in Mobilizing Human Rights Struggles for Essential Medicines: A Critique from HIV/AIDS to COVID-19,SDG 5
The Role of Civil Society in Mobilizing Human Rights Struggles for Essential Medicines: A Critique from HIV/AIDS to COVID-19,SDG 3
Human Rights; Have We Any Rights?,SDG 16
Human Rights; Have We Any Rights?,SDG 5
Employment as A HUMAN RIGHT,SDG 5
Transnational and Domestic Processes in the Definition of Human Rights Policies in Mexico,SDG 16
Transnational and Domestic Processes in the Definition of Human Rights Policies in Mexico,SDG 5
Rhetorical Acrobatics and Reputations: Egypt's National Council for Human Rights,SDG 16
Rhetorical Acrobatics and Reputations: Egypt's National Council for Human Rights,SDG 5
INTRODUCTORY NOTE TO THE EUROPEAN COURT OF HUMAN RIGHTS: OPUZ V. TURKEY,SDG 16
INTRODUCTORY NOTE TO THE EUROPEAN COURT OF HUMAN RIGHTS: OPUZ V. TURKEY,SDG 5
"Proprietary Claims and Human Rights. A ""Reservoir of Entitlement""?",SDG 16
"Proprietary Claims and Human Rights. A ""Reservoir of Entitlement""?",SDG 5
"COMMUNIST CHINESE AND ""ASIAN VALUES"" CRITIQUES OF UNIVERSAL HUMAN RIGHTS",SDG 16
"COMMUNIST CHINESE AND ""ASIAN VALUES"" CRITIQUES OF UNIVERSAL HUMAN RIGHTS",SDG 5
A Behavioral Approach to Human Rights,SDG 16
A Behavioral Approach to Human Rights,SDG 5
Using International Human Rights Mechanisms to Promote and Protect Rights of Indian Nations and Tribes in the United States: An Overview,SDG 16
Using International Human Rights Mechanisms to Promote and Protect Rights of Indian Nations and Tribes in the United States: An Overview,SDG 5
Teaching Human Rights to Advance Social Justice in Russia,SDG 16
Teaching Human Rights to Advance Social Justice in Russia,SDG 5
Employment of People with Disabilities: Recent Successes and an Uncertain Future,SDG 10
"Ethics, Enlightened Self-Interest, and the Corporate Responsibility to Respect Human Rights: A Critical Look at the Justificatory Foundations of the UN Framework",SDG 16
"Ethics, Enlightened Self-Interest, and the Corporate Responsibility to Respect Human Rights: A Critical Look at the Justificatory Foundations of the UN Framework",SDG 5
Implementing the human right to water and sanitation: a study of global and local discourses,SDG 5
Implementing the human right to water and sanitation: a study of global and local discourses,SDG 6
Judicial Sovereignty and the Human Rights Act 1998,SDG 16
Judicial Sovereignty and the Human Rights Act 1998,SDG 5
"Conservation, Human Rights, and Poverty Reduction",SDG 16
"Conservation, Human Rights, and Poverty Reduction",SDG 5
"NEVER MIND HUMAN RIGHTS, LET’S SAVE THE CHILDREN: THE AUSTRALIAN GOVERNMENT’S EMERGENCY INTERVENTION IN THE NORTHERN TERRITORY",SDG 16
"NEVER MIND HUMAN RIGHTS, LET’S SAVE THE CHILDREN: THE AUSTRALIAN GOVERNMENT’S EMERGENCY INTERVENTION IN THE NORTHERN TERRITORY",SDG 5
Refugee Children at Risk,SDG 16
Human Rights in Norwegian Social Studies/History Textbooks,SDG 16
Human Rights in Norwegian Social Studies/History Textbooks,SDG 5
Is the Rule of Law Really Indifferent to Human Rights?,SDG 16
Is the Rule of Law Really Indifferent to Human Rights?,SDG 5
"Traditional Healing Practices Involving Psychoactive Plants and the Global Mental Health Agenda: Opportunities, Pitfalls, and Challenges in the “Right to Science” Framework",SDG 3
"On Linguistic Human Rights and the United States ""Foreign"" Language Crisis",SDG 16
"On Linguistic Human Rights and the United States ""Foreign"" Language Crisis",SDG 5
OVERCOMING INSECURITIES: THE FUTURE OF HUMAN MOBILITY REGIMES,SDG 5
Self-fulfilling prophecies and human rights in Canada's foreign policy: Lessons from East Timor,SDG 16
Self-fulfilling prophecies and human rights in Canada's foreign policy: Lessons from East Timor,SDG 5
"Companion Piece: Needs, Rights, and the Human Family A Bio-Psycho-Social-Spiritual Perspective",SDG 16
"Companion Piece: Needs, Rights, and the Human Family A Bio-Psycho-Social-Spiritual Perspective",SDG 5
CANADA'S HUMAN RIGHTS POLICY AND ITS IMPACT ON FOREIGN ASSISTANCE ALLOCATION,SDG 16
CANADA'S HUMAN RIGHTS POLICY AND ITS IMPACT ON FOREIGN ASSISTANCE ALLOCATION,SDG 5
A Federal Prosecutor's Pursuit of Justice,SDG 16
THE HUMAN RIGHT OF SELF-DEFENCE,SDG 5
Human Rights and Reproductive Choices in the Case-law of Italian and European Courts,SDG 16
Human Rights and Reproductive Choices in the Case-law of Italian and European Courts,SDG 5
THE TRADITION OF HUMAN RIGHTS AND HUMANITARIAN ACTION IN THE NETHERLANDS,SDG 16
THE TRADITION OF HUMAN RIGHTS AND HUMANITARIAN ACTION IN THE NETHERLANDS,SDG 5
"Gender and Utopian Visions in a Post-Utopian Era: Americanism, Human Rights, Market Fundamentalism",SDG 16
"Gender and Utopian Visions in a Post-Utopian Era: Americanism, Human Rights, Market Fundamentalism",SDG 5
An Inquiry into State Agreement and Practice on the International Law Status of the Human Right to Medicines,SDG 5
"Bearing Witness: Poetry, Prison Discourse, and Communal Struggles in Human Rights Education",SDG 16
"Bearing Witness: Poetry, Prison Discourse, and Communal Struggles in Human Rights Education",SDG 4
"Bearing Witness: Poetry, Prison Discourse, and Communal Struggles in Human Rights Education",SDG 5
Avoiding Legal Obligations Created by Human Rights Treaties,SDG 16
Avoiding Legal Obligations Created by Human Rights Treaties,SDG 5
Rights Talk and the Experience of Law: Implementing Women's Human Rights to Protection from Violence,SDG 16
Rights Talk and the Experience of Law: Implementing Women's Human Rights to Protection from Violence,SDG 15
Rights Talk and the Experience of Law: Implementing Women's Human Rights to Protection from Violence,SDG 5
"Human Rights, the United Nations and Cambodia",SDG 16
"Human Rights, the United Nations and Cambodia",SDG 5
The Globalization of Capital in East and Southeast Asia: Measuring the Impact on Human Rights Standards,SDG 16
The Globalization of Capital in East and Southeast Asia: Measuring the Impact on Human Rights Standards,SDG 5
"Humans “in the Loop”?: Human-Centrism, Posthumanism, and AI",SDG 5
"The Scales of the European Court of Human Rights: Abortion Restriction in Poland, the European Consensus, and the State’s Margin of Appreciation",SDG 16
"The Scales of the European Court of Human Rights: Abortion Restriction in Poland, the European Consensus, and the State’s Margin of Appreciation",SDG 5
Human Rights and the House of Lords,SDG 16
Human Rights and the House of Lords,SDG 5
"U.N. ""Human Rights"" Conventions",SDG 16
"U.N. ""Human Rights"" Conventions",SDG 5
INTRODUCTORY NOTE TO THE EUROPEAN COURT OF HUMAN RIGHTS: MOUVEMENT RAËLIEN SUISSE V. SWITZERLAND (EUR. CT. H.R.),SDG 16
INTRODUCTORY NOTE TO THE EUROPEAN COURT OF HUMAN RIGHTS: MOUVEMENT RAËLIEN SUISSE V. SWITZERLAND (EUR. CT. H.R.),SDG 5
"Relative Humanity: Identity, Rights, and Ethics: Israel as a Case Study",SDG 16
"Relative Humanity: Identity, Rights, and Ethics: Israel as a Case Study",SDG 5
EXPORT CONTROL AND HUMAN RIGHTS,SDG 16
EXPORT CONTROL AND HUMAN RIGHTS,SDG 5
A Conversation with United Nations High Commissioner for Human Rights: Interview with Zeid Ra'ad Al Hussein,SDG 16
A Conversation with United Nations High Commissioner for Human Rights: Interview with Zeid Ra'ad Al Hussein,SDG 5
THE EUROPEAN COURT OF HUMAN RIGHTS: S. & MARPER V. U.K.,SDG 16
THE EUROPEAN COURT OF HUMAN RIGHTS: S. & MARPER V. U.K.,SDG 5
EUROPEAN CONVENTION ON HUMAN RIGHTS: EXTRA TERRITORAL ACTS IN IRAQ,SDG 16
EUROPEAN CONVENTION ON HUMAN RIGHTS: EXTRA TERRITORAL ACTS IN IRAQ,SDG 5
The Power of Community in Advancing the Right to Health: A Conversation with Anand Grover,SDG 3
RESOLUTION OF THE ECONOMIC AND SOCIAL COUNCIL ON HUMAN RIGHTS AND INDIGENOUS ISSUES,SDG 16
RESOLUTION OF THE ECONOMIC AND SOCIAL COUNCIL ON HUMAN RIGHTS AND INDIGENOUS ISSUES,SDG 5
"The Right to Protest, the Human Rights Act and the Margin of Appreciation",SDG 16
"The Right to Protest, the Human Rights Act and the Margin of Appreciation",SDG 5
Protecting Public Health through Technology Transfer: The Unfulfilled Promise of the TRIPS Agreement,SDG 3
Global Goes Local: Integrating Human Rights Principles into a County Health Care Reform Project,SDG 16
Global Goes Local: Integrating Human Rights Principles into a County Health Care Reform Project,SDG 5
Global Goes Local: Integrating Human Rights Principles into a County Health Care Reform Project,SDG 3
UNITED NATIONS AND HUMAN RIGHTS—I,SDG 16
UNITED NATIONS AND HUMAN RIGHTS—I,SDG 5
United States Human Rights Policy and Foreign Assistance,SDG 16
United States Human Rights Policy and Foreign Assistance,SDG 5
Social Science and Human Rights,SDG 16
Social Science and Human Rights,SDG 5
Towards a Human Right ‘to Be Forgotten Online’?,SDG 5
"Another Step towards Indivisibility: Identifying the Key Features of Violations of Economic, Social and Cultural Rights",SDG 16
EXTRACTS RELATING TO NATIONALITY FROM SELECTED UNIVERSAL AND REGIONAL HUMAN RIGHTS TREATIES,SDG 16
EXTRACTS RELATING TO NATIONALITY FROM SELECTED UNIVERSAL AND REGIONAL HUMAN RIGHTS TREATIES,SDG 5
HUMAN RIGHTS FINDING ON CLIMATE CHANGE COULD SPUR ACTIVIST LAWSUITS,SDG 16
HUMAN RIGHTS FINDING ON CLIMATE CHANGE COULD SPUR ACTIVIST LAWSUITS,SDG 5
International Human Rights Norms in Japan,SDG 16
International Human Rights Norms in Japan,SDG 5
Transnational Terror and Human Rights,SDG 16
Transnational Terror and Human Rights,SDG 5
"From Individual Rights to National Development: The First UN International Conference on Human Rights, Tehran, 1968",SDG 16
"From Individual Rights to National Development: The First UN International Conference on Human Rights, Tehran, 1968",SDG 5
Comparative Analysis of Legal Guarantees of Educational Rights of National Minorities and Migrants in Europe,SDG 4
Comparative Analysis of Legal Guarantees of Educational Rights of National Minorities and Migrants in Europe,SDG 16
Human Rights and the Search for Community,SDG 16
Human Rights and the Search for Community,SDG 5
INTRODUCTORY NOTE TO THE EUROPEAN COURT OF HUMAN RIGHTS: KOZACIOGLU V. TURKEY,SDG 16
INTRODUCTORY NOTE TO THE EUROPEAN COURT OF HUMAN RIGHTS: KOZACIOGLU V. TURKEY,SDG 5
Global Civil Society and the International Human Rights Movement: Citizen Participation in Human Rights International Nongovernmental Organizations,SDG 16
Global Civil Society and the International Human Rights Movement: Citizen Participation in Human Rights International Nongovernmental Organizations,SDG 5
Citizenship and Human Rights in the Age of Globalization,SDG 16
Citizenship and Human Rights in the Age of Globalization,SDG 5
"Sexual Rights: Meanings, Controversies, and Sexual Health Promotion",SDG 16
"Sexual Rights: Meanings, Controversies, and Sexual Health Promotion",SDG 3
CASE STUDIES OF VIOLATIONS OF WORKERS' FREEDOM OF ASSOCIATION: FOOD PROCESSING WORKERS AND CONTINGENT WORKERS,SDG 2
EUROPEAN COURT OF HUMAN RIGHTS (ECHR): SAHIN V. GERMANY,SDG 16
EUROPEAN COURT OF HUMAN RIGHTS (ECHR): SAHIN V. GERMANY,SDG 5
"Nuisance, Human Rights and Sewage. Closing the Floodgates",SDG 16
"Nuisance, Human Rights and Sewage. Closing the Floodgates",SDG 5
The View of the European Court of Human Rights on Competent Patients’ Right of Informed Consent. Research in the Light of Articles 3 and 8 of the European Convention on Human Rights,SDG 16
The View of the European Court of Human Rights on Competent Patients’ Right of Informed Consent. Research in the Light of Articles 3 and 8 of the European Convention on Human Rights,SDG 5
"School Reform, Human Rights, and Global Education",SDG 16
"School Reform, Human Rights, and Global Education",SDG 4
"School Reform, Human Rights, and Global Education",SDG 5
UNITED NATIONS AND HUMAN RIGHTS-III,SDG 16
UNITED NATIONS AND HUMAN RIGHTS-III,SDG 5
Evolving Human Rights and the Science of Antiretroviral Medicine,SDG 16
Evolving Human Rights and the Science of Antiretroviral Medicine,SDG 5
EUROPEAN COURT OF HUMAN RIGHTS (ECHR): STRELETZ V. GERMANY,SDG 16
EUROPEAN COURT OF HUMAN RIGHTS (ECHR): STRELETZ V. GERMANY,SDG 5
"Australian ICTUR conference on ""Workers' rights as human rights""",SDG 16
"Australian ICTUR conference on ""Workers' rights as human rights""",SDG 5
The Impact of Structural Racism in Employment and Wages on Minority Women's Health,SDG 15
The Impact of Structural Racism in Employment and Wages on Minority Women's Health,SDG 3
Restoring and Reviving the Department of Justice,SDG 16
"Rebuttal to: ""NGO Justice: African Rights as Pseudo-Prosecutor of the Rwandan Genocide,"" by Luc Reydams",SDG 16
"‘Human Rights’ in the Discourse of Buraku Liberation: From the 1920s to the 1990s, an Initial Survey",SDG 16
"‘Human Rights’ in the Discourse of Buraku Liberation: From the 1920s to the 1990s, an Initial Survey",SDG 5
"Rights and the Role of Family Engagement in Child Welfare: An International Treaties Perspective on Families’ Rights, Parents’Rights, and Children’s Rights",SDG 16
"""KAIROS"" AND COMICS: READING HUMAN RIGHTS INTERCONTEXTUALLY IN JOE SACCO'S GRAPHIC NARRATIVES",SDG 16
"""KAIROS"" AND COMICS: READING HUMAN RIGHTS INTERCONTEXTUALLY IN JOE SACCO'S GRAPHIC NARRATIVES",SDG 5
Measuring Compliance: Social Rights and the Maximum Available Resources Dilemma,SDG 16
Facilitating Student Engagement: Social Responsibility and Freshmen Learning Communities,SDG 4
"Health, Human Rights, and the Transformation of Punishment: South African Litigation to Address HIV and Tuberculosis in Prisons",SDG 16
"Health, Human Rights, and the Transformation of Punishment: South African Litigation to Address HIV and Tuberculosis in Prisons",SDG 5
"Health, Human Rights, and the Transformation of Punishment: South African Litigation to Address HIV and Tuberculosis in Prisons",SDG 3
The Human Dignity Argument against Manual Scavenging in India,SDG 16
The Human Dignity Argument against Manual Scavenging in India,SDG 5
Universal Truths: Human Rights and the Westernizing Illusion,SDG 16
Universal Truths: Human Rights and the Westernizing Illusion,SDG 5
Changing (Dis)course: Mainstreaming Human Rights in the Struggle Against U.S. Racism,SDG 16
Changing (Dis)course: Mainstreaming Human Rights in the Struggle Against U.S. Racism,SDG 5
Self-Respect and the Denial of Rights,SDG 16
Eye in The Sky: Monitoring Human Rights Abuses Using Geospatial Technology,SDG 16
Eye in The Sky: Monitoring Human Rights Abuses Using Geospatial Technology,SDG 5
"CUSTODIAL ATROCITIES, HUMAN RIGHTS AND THE JUDICIARY",SDG 16
"CUSTODIAL ATROCITIES, HUMAN RIGHTS AND THE JUDICIARY",SDG 5
On Being Curious About Fundamentalisms and Human Rights,SDG 16
On Being Curious About Fundamentalisms and Human Rights,SDG 5
Interpreting International Humanitarian Law to Guarantee Abortion and Other Sexual and Reproductive Health Services in Armed Conflict,SDG 16
Interpreting International Humanitarian Law to Guarantee Abortion and Other Sexual and Reproductive Health Services in Armed Conflict,SDG 5
Interpreting International Humanitarian Law to Guarantee Abortion and Other Sexual and Reproductive Health Services in Armed Conflict,SDG 3
European Union Constructive Engagement with Iran (2000-2004): An Exercise in Conditional Human Rights Diplomacy,SDG 16
European Union Constructive Engagement with Iran (2000-2004): An Exercise in Conditional Human Rights Diplomacy,SDG 5
CHILD ABDUCTION: RECENT JURISPRUDENCE OF THE EUROPEAN COURT OF HUMAN RIGHTS,SDG 16
CHILD ABDUCTION: RECENT JURISPRUDENCE OF THE EUROPEAN COURT OF HUMAN RIGHTS,SDG 5
Developing a human rights-based program for tuberculosis control in Georgian prisons,SDG 16
Developing a human rights-based program for tuberculosis control in Georgian prisons,SDG 5
Human Rights Institutions: Rhetoric and Efficacy: Introduction,SDG 16
Human Rights Institutions: Rhetoric and Efficacy: Introduction,SDG 5
Anti-Gay Propaganda Laws: Time for the European Court of Human Rights to Overcome Her Fear of Commitment,SDG 16
Anti-Gay Propaganda Laws: Time for the European Court of Human Rights to Overcome Her Fear of Commitment,SDG 5
INTER-AMERICAN COMMISSION ON HUMAN RIGHTS: RULES OF PROCEDURE,SDG 16
INTER-AMERICAN COMMISSION ON HUMAN RIGHTS: RULES OF PROCEDURE,SDG 5
From Cold War to Trade War: Neocolonialism and Human Rights,SDG 16
From Cold War to Trade War: Neocolonialism and Human Rights,SDG 5
Champion of Human Rights: The European Parliament and the Helsinki Process,SDG 16
Champion of Human Rights: The European Parliament and the Helsinki Process,SDG 5
"Unaccompanied Children at the United States Border, a Human Rights Crisis that can be Addressed with Policy Change",SDG 16
"Unaccompanied Children at the United States Border, a Human Rights Crisis that can be Addressed with Policy Change",SDG 5
"Health, human rights and global security: exploring connections",SDG 16
"Health, human rights and global security: exploring connections",SDG 5
"Health, human rights and global security: exploring connections",SDG 3
Realizing the Right to Be Cold? Framing Processes and Outcomes Associated with the Inuit Petition on Human Rights and Global Warming,SDG 16
Realizing the Right to Be Cold? Framing Processes and Outcomes Associated with the Inuit Petition on Human Rights and Global Warming,SDG 5
The Right of Children in Developing Countries to Be Born and Live HIV-Free,SDG 3
The Right of Children in Developing Countries to Be Born and Live HIV-Free,SDG 16
Chinese Human Rights and American Foreign Policy: A Realist Approach,SDG 16
Chinese Human Rights and American Foreign Policy: A Realist Approach,SDG 5
"INTRODUCTORY NOTE TO THE EUROPEAN COURT OF HUMAN RIGHTS (GC): LAUTSI
                    & OTHERS V. ITALY",SDG 16
